Education,Number,Proportion
bachelorDegree,20085,0.3767585818795723
postgraduateDegree,18985,0.3561245544925905
gradDipDipCertIIIandIV,9886,0.1854436315888201
highSchoolorCertIorIIorLess,4354,0.08167323203901707
