State,Number,Proportion
NSW,456,0.29381443298969073
VIC,376,0.2422680412371134
QLD,307,0.19780927835051546
WA,165,0.10631443298969072
SA,159,0.10244845360824742
ACT,40,0.02577319587628866
TAS,39,0.025128865979381444
NT,10,0.006443298969072165
