State,Number,Proportion
NSW,23986,0.4067353998507766
VIC,20891,0.3542528657668046
QLD,5955,0.1009801261615682
ACT,2847,0.04827714847724344
WA,2542,0.043105202468968325
SA,1720,0.029166384046666216
TAS,850,0.014413620023061792
NT,181,0.003069253204910805
