Estimated/Actual,Safe loss,Fairly safe loss,Marginal loss,Too close to call,Marginal win,Fairly safe win,Safe win
Safe loss,8,0,0,0,0,0,0
Fairly safe loss,18,3,0,0,0,0,0
Marginal loss,11,9,7,4,0,0,0
Too close to call,5,6,8,15,11,13,3
Marginal win,0,0,0,0,1,3,11
Fairly safe win,0,0,0,0,0,1,7
Safe win,0,0,0,0,0,0,7
