Year,Elect_div,State,PollingPlaceID,Latitude,Longitude
2016,Banks,NSW,43,-33.9726,151.099
2016,Banks,NSW,4,-33.985015,151.0454806
2016,Banks,NSW,55,-33.9729046,151.0773353
2016,Banks,NSW,56,-33.9727,151.081
2016,Banks,NSW,5,-33.9615619,151.0731878
2016,Banks,NSW,6,-33.9482,151.069
2016,Banks,NSW,58,-33.9847,151.081
2016,Banks,NSW,59,-33.9796,151.065
2016,Banks,NSW,7,-33.9542,151.031
2016,Banks,NSW,8,-33.949,151.03
2016,Banks,NSW,58722,-33.9480237,151.0259414
2016,Banks,NSW,10,-33.9664348,151.0305364
2016,Banks,NSW,11,-33.9551,150.999
2016,Banks,NSW,12,-33.9519,150.998
2016,Banks,NSW,13,-33.9451,150.999
2016,Banks,NSW,14,-33.9661,151
2016,Banks,NSW,16,-33.9553,151.061
2016,Banks,NSW,17,-33.9728147,151.0555257
2016,Banks,NSW,18,-33.9616492,151.0489593
2016,Banks,NSW,19,-33.9625909,151.0875342
2016,Banks,NSW,60,-33.9641,151.087
2016,Banks,NSW,22,-33.9649,151.01
2016,Banks,NSW,57281,-33.9542157,151.0166996
2016,Banks,NSW,25,-33.9447,151.017
2016,Banks,NSW,26,-33.9605,151.017
2016,Banks,NSW,3,-33.9459,151.058
2016,Banks,NSW,27,-33.9476795,151.047088
2016,Banks,NSW,28,-33.9524734,151.0532173
2016,Sydney,NSW,14011,-33.8730501,151.2064528
2016,Barton,NSW,32,-33.938,151.144
2016,Barton,NSW,34,-33.9406,151.147
2016,Barton,NSW,2642,-33.9374,151.138
2016,Barton,NSW,2643,-33.9338,151.125
2016,Watson,NSW,65982,-33.913395,151.104419
2016,Barton,NSW,2645,-33.9492,151.083
2016,Barton,NSW,2670,-33.947,151.079
2016,Barton,NSW,2646,-33.9528,151.085
2016,Barton,NSW,2647,-33.9515,151.125
2016,Barton,NSW,2640,-33.9467,151.128
2016,Barton,NSW,2649,-33.9407,151.121
2016,Barton,NSW,2650,-33.9522,151.114
2016,Barton,NSW,65449,-33.9527866,151.1392016
2016,Barton,NSW,38,-33.9627,151.148
2016,Barton,NSW,2652,-33.9175,151.116
2016,Barton,NSW,2653,-33.9624,151.124
2016,Banks,NSW,47,-33.9727,151.128
2016,Barton,NSW,2656,-33.92951,151.10897
2016,Barton,NSW,30095,-33.9529008,151.1391306
2016,Barton,NSW,2660,-33.9281,151.127
2016,Barton,NSW,2661,-33.9283,151.124
2016,Grayndler,NSW,79724,-33.908507,151.132444
2016,Barton,NSW,2663,-33.9642,151.102
2016,Barton,NSW,65171,-33.9667124,151.1061861
2016,Barton,NSW,2664,-33.9641,151.111
2016,Barton,NSW,2665,-33.9544,151.096
2016,Barton,NSW,2666,-33.9401,151.103
2016,Watson,NSW,79715,-33.93385,151.09621
2016,Barton,NSW,2667,-33.9494,151.102
2016,Barton,NSW,50,-33.9616,151.136
2016,Barton,NSW,51,-33.9497,151.161
2016,Grayndler,NSW,65249,-33.913688,151.161852
2016,Barton,NSW,1010,-33.9207,151.152
2016,Barton,NSW,1011,-33.9144,151.146
2016,Barton,NSW,2662,-33.9383,151.109
2016,Barton,NSW,2672,-33.9182,151.123
2016,Barton,NSW,62,-33.9527,151.142
2016,Barton,NSW,33869,-33.9508212,151.1387974
2016,Barton,NSW,63,-33.9537,151.139
2016,Barton,NSW,2671,-33.9504,151.136
2016,Sydney,NSW,14014,-33.8730501,151.2064528
2016,Barton,NSW,1470,-33.919948,151.1610947
2016,Barton,NSW,1016,-33.9154803,151.1503777
2016,Barton,NSW,2641,-33.9319,151.145
2016,Barton,NSW,2673,-33.9244,151.139
2016,North Sydney,NSW,65453,-33.7981824,151.1818539
2016,North Sydney,NSW,33930,-33.8211705,151.1355456
2016,Bennelong,NSW,634,-33.7800229,151.0553219
2016,North Sydney,NSW,65177,-33.7981824,151.1818539
2016,Bennelong,NSW,638,-33.79244,151.08353
2016,Bennelong,NSW,639,-33.7935,151.097
2016,Bennelong,NSW,647,-33.8036,151.07
2016,North Sydney,NSW,30096,-33.7981824,151.1818539
2016,Bennelong,NSW,79,-33.7943477,151.109308
2016,Bennelong,NSW,642,-33.7928,151.078
2016,Bennelong,NSW,80,-33.7817,151.096
2016,Bennelong,NSW,643,-33.7906,151.067
2016,Bennelong,NSW,644,-33.7745,151.079
2016,Bennelong,NSW,81,-33.768408,151.0871472
2016,Bennelong,NSW,645,-33.76284,151.07377
2016,Bennelong,NSW,82,-33.7576,151.096
2016,Bennelong,NSW,11927,-33.7728471,151.0684506
2016,Bennelong,NSW,2252,-33.816527,151.0572843
2016,Bennelong,NSW,2253,-33.8061,151.058
2016,Bennelong,NSW,84,-33.8323301,151.1259218
2016,Bennelong,NSW,87,-33.8277117,151.1201395
2016,Bennelong,NSW,92,-33.7864,151.109
2016,Bennelong,NSW,98,-33.7797606,151.1149218
2016,Bennelong,NSW,99,-33.781032,151.102359
2016,Bennelong,NSW,75,-33.7703911,151.0996223
2016,Bennelong,NSW,650,-33.8148423,151.0924377
2016,Bennelong,NSW,33928,-33.8151,151.073
2016,Bennelong,NSW,33877,-33.8133913,151.1200494
2016,Bennelong,NSW,8869,-33.8085,151.1
2016,Bennelong,NSW,102,-33.8249,151.111
2016,Bennelong,NSW,33926,-33.7654,151.053
2016,Bennelong,NSW,654,-33.8128,151.105
2016,Bennelong,NSW,105,-33.8063669,151.1268905
2016,Bennelong,NSW,655,-33.8178,151.098
2016,Bennelong,NSW,106,-33.7939,151.12
2016,Bennelong,NSW,657,-33.8217896,151.1080114
2016,Sydney,NSW,14017,-33.8730501,151.2064528
2016,Bennelong,NSW,34349,-33.8118,151.108
2016,Bennelong,NSW,107,-33.7947,151.13
2016,Bennelong,NSW,661,-33.8087,151.085
2016,Bennelong,NSW,33945,-33.8116407,151.0941638
2016,Berowra,NSW,1822,-33.6687322,150.9522275
2016,Berowra,NSW,1823,-33.6231223,151.0520461
2016,Bradfield,NSW,43686,-33.6855,151.112
